No.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,"[[0, 11, 6, 19, 13, 6, 10, 15, 10, 9, 5, 0, 8, 1], [11, 0, 4, 0, 4, 10, 5, 5, 2, 1, 4, 3, 18, 14], [6, 4, 0, 2, 7, 19, 4, 8, 9, 7, 15, 9, 11, 19], [19, 0, 2, 0, 16, 9, 18, 1, 11, 1, 9, 10, 15, 11], [13, 4, 7, 16, 0, 12, 0, 5, 5, 14, 17, 5, 19, 15], [6, 10, 19, 9, 12, 0, 10, 11, 5, 4, 14, 4, 17, 0], [10, 5, 4, 18, 0, 10, 0, 7, 3, 0, 7, 3, 16, 19], [15, 5, 8, 1, 5, 11, 7, 0, 17, 5, 8, 10, 3, 6], [10, 2, 9, 11, 5, 5, 3, 17, 0, 2, 17, 7, 9, 17], [9, 1, 7, 1, 14, 4, 0, 5, 2, 0, 7, 10, 4, 2], [5, 4, 15, 9, 17, 14, 7, 8, 17, 7, 0, 7, 8, 4], [0, 3, 9, 10, 5, 4, 3, 10, 7, 10, 7, 0, 0, 6], [8, 18, 11, 15, 19, 17, 16, 3, 9, 4, 8, 0, 0, 8], [1, 14, 19, 11, 15, 0, 19, 6, 17, 2, 4, 6, 8, 0]]'","[[0, 15, 20, 6, 1, 21, 18, 17, 9, 23, 7, 22, 14, 12], [4, 0, 6, 7, 2, 13, 22, 12, 16, 14, 21, 8, 26, 17], [25, 3, 0, 5, 12, 4, 2, 23, 21, 11, 26, 1, 7, 22], [16, 25, 15, 0, 3, 19, 21, 22, 20, 1, 12, 4, 13, 2], [10, 9, 14, 8, 0, 17, 4, 15, 26, 16, 18, 5, 25, 24], [24, 23, 8, 26, 11, 0, 16, 10, 22, 12, 9, 3, 6, 7], [5, 20, 24, 9, 7, 14, 0, 8, 3, 25, 15, 10, 12, 13], [13, 19, 18, 24, 21, 5, 1, 0, 14, 6, 2, 20, 3, 9], [11, 1, 13, 17, 23, 18, 19, 25, 0, 2, 5, 12, 8, 10], [8, 10, 9, 18, 13, 15, 26, 7, 4, 0, 20, 21, 22, 3], [3, 24, 16, 10, 22, 25, 17, 11, 6, 19, 0, 14, 1, 8], [19, 18, 17, 11, 6, 2, 23, 26, 7, 24, 13, 0, 15, 25], [2, 5, 10, 23, 19, 20, 11, 16, 24, 17, 4, 9, 0, 21], [26, 11, 19, 14, 20, 1, 6, 4, 15, 5, 23, 16, 18, 0]]'",1992,347.22341838600005
2,"[[0, 17, 9, 19, 0, 3, 19, 3, 4, 2, 1, 10, 5, 6], [17, 0, 16, 11, 10, 14, 5, 1, 15, 6, 14, 12, 1, 1], [9, 16, 0, 16, 7, 9, 8, 14, 16, 5, 1, 7, 16, 15], [19, 11, 16, 0, 9, 12, 1, 11, 6, 3, 1, 10, 8, 12], [0, 10, 7, 9, 0, 3, 19, 11, 19, 10, 12, 9, 16, 4], [3, 14, 9, 12, 3, 0, 16, 18, 19, 15, 10, 3, 7, 0], [19, 5, 8, 1, 19, 16, 0, 2, 1, 3, 11, 16, 0, 6], [3, 1, 14, 11, 11, 18, 2, 0, 16, 15, 1, 14, 13, 4], [4, 15, 16, 6, 19, 19, 1, 16, 0, 0, 2, 7, 15, 13], [2, 6, 5, 3, 10, 15, 3, 15, 0, 0, 17, 19, 4, 19], [1, 14, 1, 1, 12, 10, 11, 1, 2, 17, 0, 13, 11, 6], [10, 12, 7, 10, 9, 3, 16, 14, 7, 19, 13, 0, 4, 17], [5, 1, 16, 8, 16, 7, 0, 13, 15, 4, 11, 4, 0, 17], [6, 1, 15, 12, 4, 0, 6, 4, 13, 19, 6, 17, 17, 0]]'","[[0, 9, 2, 4, 18, 7, 16, 8, 21, 3, 14, 1, 25, 15], [5, 0, 23, 16, 10, 21, 13, 3, 14, 22, 7, 8, 1, 4], [13, 26, 0, 18, 1, 8, 14, 21, 19, 10, 16, 17, 9, 3], [22, 15, 11, 0, 7, 12, 21, 10, 17, 23, 26, 3, 20, 24], [23, 2, 6, 14, 0, 13, 24, 5, 20, 25, 21, 4, 26, 16], [17, 20, 22, 6, 15, 0, 2, 19, 26, 1, 9, 5, 14, 11], [11, 19, 20, 25, 12, 10, 0, 23, 3, 9, 8, 7, 22, 6], [6, 17, 15, 1, 9, 24, 26, 0, 4, 14, 18, 13, 16, 22], [24, 11, 25, 2, 22, 23, 18, 12, 0, 13, 6, 10, 7, 9], [12, 24, 4, 19, 11, 16, 5, 7, 8, 0, 15, 6, 21, 17], [10, 25, 24, 5, 17, 3, 4, 20, 1, 2, 0, 22, 13, 23], [20, 18, 12, 9, 19, 25, 15, 2, 16, 26, 11, 0, 23, 21], [19, 6, 5, 8, 3, 4, 17, 11, 15, 18, 12, 24, 0, 10], [26, 12, 7, 13, 8, 18, 1, 25, 5, 20, 19, 14, 2, 0]]'",2287,343.41363299299974
3,"[[0, 7, 3, 13, 13, 4, 7, 0, 18, 12, 1, 0, 10, 12], [7, 0, 4, 17, 0, 1, 19, 6, 3, 16, 8, 0, 8, 15], [3, 4, 0, 13, 2, 12, 19, 2, 17, 0, 0, 5, 1, 8], [13, 17, 13, 0, 1, 5, 10, 2, 6, 7, 17, 13, 3, 0], [13, 0, 2, 1, 0, 1, 4, 5, 9, 17, 4, 8, 18, 6], [4, 1, 12, 5, 1, 0, 11, 6, 18, 1, 9, 6, 11, 3], [7, 19, 19, 10, 4, 11, 0, 1, 0, 16, 4, 12, 7, 15], [0, 6, 2, 2, 5, 6, 1, 0, 4, 19, 1, 8, 13, 9], [18, 3, 17, 6, 9, 18, 0, 4, 0, 0, 7, 17, 4, 13], [12, 16, 0, 7, 17, 1, 16, 19, 0, 0, 12, 6, 7, 7], [1, 8, 0, 17, 4, 9, 4, 1, 7, 12, 0, 10, 19, 3], [0, 0, 5, 13, 8, 6, 12, 8, 17, 6, 10, 0, 17, 12], [10, 8, 1, 3, 18, 11, 7, 13, 4, 7, 19, 17, 0, 6], [12, 15, 8, 0, 6, 3, 15, 9, 13, 7, 3, 12, 6, 0]]'","[[0, 7, 26, 5, 18, 4, 13, 6, 12, 21, 24, 25, 2, 17], [14, 0, 6, 3, 4, 10, 12, 22, 20, 15, 21, 13, 11, 18], [3, 1, 0, 13, 15, 18, 17, 14, 19, 11, 2, 12, 10, 4], [1, 9, 21, 0, 20, 12, 4, 8, 24, 26, 23, 2, 22, 16], [11, 2, 25, 17, 0, 24, 22, 3, 9, 23, 8, 10, 6, 19], [19, 8, 7, 11, 5, 0, 2, 26, 1, 14, 6, 21, 9, 3], [8, 19, 24, 14, 1, 15, 0, 16, 6, 18, 9, 3, 23, 7], [23, 25, 9, 15, 12, 13, 20, 0, 5, 4, 18, 11, 21, 24], [16, 23, 22, 25, 26, 17, 21, 10, 0, 2, 13, 18, 7, 11], [22, 5, 20, 10, 7, 16, 25, 17, 8, 0, 1, 6, 24, 12], [10, 16, 5, 19, 14, 25, 11, 7, 15, 3, 0, 17, 4, 22], [20, 24, 23, 7, 16, 22, 5, 19, 4, 9, 26, 0, 8, 15], [15, 17, 16, 18, 13, 20, 26, 1, 3, 19, 12, 14, 0, 25], [9, 26, 8, 6, 21, 23, 10, 2, 14, 13, 20, 1, 5, 0]]'",1828,346.3244732989997
4,"[[0, 6, 8, 6, 15, 15, 14, 5, 2, 6, 8, 4, 6, 16], [6, 0, 1, 7, 13, 4, 19, 16, 4, 8, 13, 2, 17, 4], [8, 1, 0, 12, 4, 8, 10, 16, 19, 1, 0, 11, 12, 3], [6, 7, 12, 0, 17, 6, 17, 15, 13, 9, 5, 7, 8, 10], [15, 13, 4, 17, 0, 2, 6, 13, 19, 15, 8, 13, 2, 1], [15, 4, 8, 6, 2, 0, 2, 18, 15, 19, 16, 2, 5, 19], [14, 19, 10, 17, 6, 2, 0, 15, 11, 16, 2, 16, 10, 4], [5, 16, 16, 15, 13, 18, 15, 0, 5, 14, 6, 2, 14, 13], [2, 4, 19, 13, 19, 15, 11, 5, 0, 15, 13, 8, 12, 0], [6, 8, 1, 9, 15, 19, 16, 14, 15, 0, 0, 13, 9, 4], [8, 13, 0, 5, 8, 16, 2, 6, 13, 0, 0, 0, 3, 9], [4, 2, 11, 7, 13, 2, 16, 2, 8, 13, 0, 0, 17, 14], [6, 17, 12, 8, 2, 5, 10, 14, 12, 9, 3, 17, 0, 18], [16, 4, 3, 10, 1, 19, 4, 13, 0, 4, 9, 14, 18, 0]]'","[[0, 9, 2, 10, 1, 5, 7, 24, 25, 20, 15, 4, 6, 13], [16, 0, 12, 8, 23, 22, 14, 15, 19, 5, 6, 17, 21, 11], [17, 3, 0, 11, 10, 7, 9, 21, 20, 25, 14, 24, 8, 26], [14, 18, 5, 0, 7, 4, 12, 25, 13, 22, 24, 20, 23, 6], [11, 25, 18, 19, 0, 13, 26, 6, 9, 24, 21, 8, 5, 22], [12, 20, 23, 17, 16, 0, 8, 1, 11, 21, 9, 14, 15, 24], [22, 2, 6, 21, 15, 10, 0, 17, 1, 23, 20, 13, 24, 5], [19, 10, 13, 26, 4, 3, 16, 0, 14, 7, 18, 9, 11, 12], [26, 24, 22, 3, 2, 6, 4, 5, 0, 17, 10, 15, 7, 23], [8, 4, 1, 15, 3, 26, 18, 2, 16, 0, 12, 11, 9, 14], [23, 7, 19, 1, 17, 2, 11, 22, 8, 13, 0, 3, 26, 16], [21, 26, 16, 2, 12, 19, 25, 23, 18, 6, 5, 0, 1, 7], [3, 13, 4, 16, 14, 18, 19, 20, 12, 10, 25, 22, 0, 2], [18, 1, 15, 9, 20, 25, 3, 8, 21, 19, 4, 10, 17, 0]]'",2335,343.91909426200027
5,"[[0, 11, 13, 14, 1, 10, 6, 11, 0, 5, 0, 10, 6, 5], [11, 0, 2, 11, 2, 1, 12, 19, 19, 9, 9, 4, 8, 8], [13, 2, 0, 12, 13, 1, 11, 5, 17, 9, 6, 1, 10, 1], [14, 11, 12, 0, 0, 4, 0, 8, 2, 18, 11, 18, 0, 14], [1, 2, 13, 0, 0, 11, 3, 0, 2, 14, 2, 18, 1, 19], [10, 1, 1, 4, 11, 0, 14, 15, 13, 6, 3, 13, 0, 18], [6, 12, 11, 0, 3, 14, 0, 17, 19, 8, 1, 7, 8, 7], [11, 19, 5, 8, 0, 15, 17, 0, 10, 17, 4, 6, 1, 19], [0, 19, 17, 2, 2, 13, 19, 10, 0, 11, 0, 10, 18, 6], [5, 9, 9, 18, 14, 6, 8, 17, 11, 0, 16, 3, 12, 6], [0, 9, 6, 11, 2, 3, 1, 4, 0, 16, 0, 19, 11, 13], [10, 4, 1, 18, 18, 13, 7, 6, 10, 3, 19, 0, 4, 11], [6, 8, 10, 0, 1, 0, 8, 1, 18, 12, 11, 4, 0, 15], [5, 8, 1, 14, 19, 18, 7, 19, 6, 6, 13, 11, 15, 0]]'","[[0, 22, 9, 13, 17, 21, 20, 23, 6, 4, 10, 7, 2, 11], [8, 0, 18, 19, 25, 26, 4, 21, 17, 12, 9, 1, 13, 24], [12, 3, 0, 14, 4, 1, 19, 15, 25, 13, 16, 10, 24, 8], [24, 16, 5, 0, 10, 2, 25, 4, 20, 18, 15, 11, 7, 17], [19, 23, 22, 26, 0, 24, 3, 5, 12, 20, 11, 8, 16, 21], [18, 6, 11, 3, 15, 0, 16, 12, 5, 7, 19, 9, 22, 20], [26, 7, 21, 12, 6, 8, 0, 22, 11, 1, 17, 23, 14, 9], [25, 20, 17, 1, 2, 14, 13, 0, 24, 11, 18, 19, 9, 16], [3, 14, 23, 9, 7, 13, 10, 26, 0, 15, 22, 2, 8, 1], [16, 5, 2, 23, 9, 10, 24, 8, 19, 0, 25, 26, 17, 3], [1, 2, 26, 8, 14, 4, 5, 7, 21, 6, 0, 20, 3, 12], [14, 15, 6, 21, 13, 17, 18, 3, 16, 22, 24, 0, 4, 25], [5, 11, 20, 6, 1, 25, 15, 10, 18, 21, 23, 12, 0, 19], [15, 10, 7, 22, 18, 23, 2, 6, 4, 14, 13, 5, 26, 0]]'",2118,343.3807498419992
6,"[[0, 17, 6, 19, 9, 0, 3, 10, 3, 17, 10, 12, 6, 3], [17, 0, 15, 12, 1, 2, 6, 19, 0, 3, 18, 15, 18, 13], [6, 15, 0, 4, 10, 10, 4, 9, 2, 6, 7, 4, 10, 19], [19, 12, 4, 0, 18, 4, 4, 5, 16, 19, 11, 9, 7, 16], [9, 1, 10, 18, 0, 10, 19, 18, 0, 7, 15, 16, 1, 12], [0, 2, 10, 4, 10, 0, 0, 12, 19, 13, 11, 16, 16, 15], [3, 6, 4, 4, 19, 0, 0, 19, 2, 14, 16, 12, 13, 18], [10, 19, 9, 5, 18, 12, 19, 0, 9, 9, 18, 5, 9, 10], [3, 0, 2, 16, 0, 19, 2, 9, 0, 10, 3, 9, 11, 16], [17, 3, 6, 19, 7, 13, 14, 9, 10, 0, 15, 7, 3, 8], [10, 18, 7, 11, 15, 11, 16, 18, 3, 15, 0, 3, 0, 5], [12, 15, 4, 9, 16, 16, 12, 5, 9, 7, 3, 0, 2, 10], [6, 18, 10, 7, 1, 16, 13, 9, 11, 3, 0, 2, 0, 8], [3, 13, 19, 16, 12, 15, 18, 10, 16, 8, 5, 10, 8, 0]]'","[[0, 23, 5, 24, 20, 25, 14, 2, 16, 17, 13, 8, 7, 21], [19, 0, 11, 12, 5, 15, 2, 16, 6, 4, 21, 22, 20, 24], [4, 14, 0, 1, 17, 8, 18, 15, 21, 13, 24, 26, 12, 19], [15, 3, 2, 0, 7, 18, 21, 13, 10, 20, 19, 6, 4, 25], [11, 25, 23, 14, 0, 10, 16, 21, 8, 15, 26, 24, 1, 12], [26, 13, 6, 22, 3, 0, 1, 19, 24, 5, 2, 4, 21, 9], [12, 9, 25, 26, 19, 20, 0, 22, 11, 24, 4, 23, 6, 13], [6, 10, 3, 11, 4, 17, 5, 0, 12, 9, 23, 7, 24, 8], [18, 1, 7, 5, 9, 23, 3, 14, 0, 25, 20, 15, 19, 4], [1, 7, 22, 23, 2, 12, 8, 18, 26, 0, 16, 19, 14, 3], [3, 8, 10, 9, 22, 14, 7, 1, 17, 6, 0, 5, 25, 11], [9, 17, 20, 16, 18, 11, 10, 25, 13, 21, 12, 0, 3, 14], [10, 18, 9, 8, 13, 16, 17, 26, 22, 11, 15, 2, 0, 23], [22, 26, 16, 17, 6, 7, 15, 20, 2, 10, 18, 1, 5, 0]]'",2377,344.1195210470005
7,"[[0, 4, 16, 4, 6, 11, 3, 3, 2, 0, 8, 2, 18, 18], [4, 0, 14, 19, 8, 15, 16, 11, 4, 4, 15, 7, 5, 5], [16, 14, 0, 12, 14, 6, 6, 2, 5, 1, 6, 2, 11, 18], [4, 19, 12, 0, 10, 5, 11, 13, 16, 19, 4, 6, 0, 16], [6, 8, 14, 10, 0, 18, 4, 19, 2, 11, 2, 19, 10, 15], [11, 15, 6, 5, 18, 0, 10, 16, 5, 0, 1, 3, 8, 17], [3, 16, 6, 11, 4, 10, 0, 11, 16, 0, 14, 14, 15, 0], [3, 11, 2, 13, 19, 16, 11, 0, 14, 12, 6, 7, 8, 7], [2, 4, 5, 16, 2, 5, 16, 14, 0, 11, 8, 15, 13, 6], [0, 4, 1, 19, 11, 0, 0, 12, 11, 0, 11, 2, 0, 18], [8, 15, 6, 4, 2, 1, 14, 6, 8, 11, 0, 11, 19, 17], [2, 7, 2, 6, 19, 3, 14, 7, 15, 2, 11, 0, 3, 11], [18, 5, 11, 0, 10, 8, 15, 8, 13, 0, 19, 3, 0, 17], [18, 5, 18, 16, 15, 17, 0, 7, 6, 18, 17, 11, 17, 0]]'","[[0, 1, 3, 15, 11, 24, 17, 12, 26, 4, 13, 14, 6, 20], [2, 0, 25, 10, 4, 26, 5, 8, 24, 23, 16, 19, 7, 3], [7, 15, 0, 24, 6, 8, 13, 19, 5, 2, 10, 9, 4, 12], [23, 6, 26, 0, 16, 4, 18, 20, 25, 5, 19, 21, 17, 7], [19, 13, 23, 12, 0, 15, 2, 22, 9, 26, 20, 3, 21, 24], [9, 18, 1, 3, 17, 0, 16, 13, 7, 21, 23, 10, 2, 19], [10, 9, 20, 11, 7, 14, 0, 25, 8, 12, 21, 23, 19, 15], [21, 14, 16, 1, 5, 6, 26, 0, 3, 15, 11, 24, 23, 10], [18, 11, 21, 22, 14, 12, 1, 2, 0, 20, 15, 13, 16, 23], [16, 22, 14, 9, 10, 11, 24, 17, 19, 0, 6, 25, 18, 1], [8, 12, 18, 14, 25, 22, 4, 7, 17, 3, 0, 1, 26, 2], [22, 17, 11, 2, 8, 20, 6, 18, 4, 7, 5, 0, 15, 16], [5, 20, 22, 8, 1, 25, 3, 9, 10, 13, 24, 12, 0, 11], [25, 21, 17, 13, 18, 5, 22, 4, 6, 8, 9, 26, 14, 0]]'",2320,342.1507164880004
8,"[[0, 3, 8, 9, 13, 10, 11, 13, 6, 9, 7, 5, 3, 15], [3, 0, 17, 19, 18, 7, 1, 8, 14, 1, 6, 9, 19, 16], [8, 17, 0, 15, 1, 16, 8, 10, 4, 3, 7, 13, 19, 8], [9, 19, 15, 0, 2, 7, 0, 0, 5, 4, 1, 0, 7, 5], [13, 18, 1, 2, 0, 7, 1, 19, 17, 12, 0, 9, 0, 3], [10, 7, 16, 7, 7, 0, 19, 2, 7, 8, 10, 15, 0, 1], [11, 1, 8, 0, 1, 19, 0, 3, 18, 15, 0, 2, 16, 13], [13, 8, 10, 0, 19, 2, 3, 0, 13, 0, 3, 8, 0, 5], [6, 14, 4, 5, 17, 7, 18, 13, 0, 2, 9, 13, 5, 15], [9, 1, 3, 4, 12, 8, 15, 0, 2, 0, 7, 15, 19, 5], [7, 6, 7, 1, 0, 10, 0, 3, 9, 7, 0, 13, 13, 14], [5, 9, 13, 0, 9, 15, 2, 8, 13, 15, 13, 0, 13, 8], [3, 19, 19, 7, 0, 0, 16, 0, 5, 19, 13, 13, 0, 18], [15, 16, 8, 5, 3, 1, 13, 5, 15, 5, 14, 8, 18, 0]]'","[[0, 9, 3, 1, 20, 15, 8, 14, 10, 25, 16, 6, 13, 2], [22, 0, 10, 19, 24, 4, 11, 5, 1, 16, 2, 20, 23, 14], [23, 6, 0, 18, 25, 21, 17, 16, 2, 20, 13, 11, 7, 22], [11, 17, 12, 0, 5, 9, 20, 8, 3, 6, 14, 25, 4, 26], [19, 21, 26, 15, 0, 16, 4, 2, 22, 7, 1, 13, 18, 6], [7, 12, 24, 2, 8, 0, 6, 19, 23, 17, 11, 22, 10, 13], [26, 18, 14, 16, 12, 5, 0, 23, 19, 2, 22, 1, 21, 7], [12, 3, 4, 13, 10, 1, 25, 0, 26, 22, 24, 17, 9, 15], [21, 7, 8, 24, 17, 25, 13, 20, 0, 4, 15, 14, 12, 18], [24, 13, 9, 10, 14, 3, 15, 18, 11, 0, 26, 12, 5, 21], [5, 8, 19, 7, 3, 18, 9, 21, 6, 23, 0, 4, 20, 17], [18, 15, 5, 21, 23, 26, 3, 7, 9, 19, 10, 0, 8, 16], [17, 26, 15, 22, 11, 14, 24, 6, 16, 1, 25, 2, 0, 19], [4, 25, 1, 23, 9, 20, 10, 11, 5, 8, 12, 24, 3, 0]]'",2097,343.04035454599943
9,"[[0, 4, 4, 7, 2, 7, 7, 19, 6, 0, 18, 5, 1, 9], [4, 0, 0, 13, 10, 4, 13, 4, 4, 1, 8, 3, 8, 11], [4, 0, 0, 17, 19, 5, 2, 13, 11, 1, 17, 12, 19, 14], [7, 13, 17, 0, 6, 2, 15, 17, 9, 15, 9, 17, 9, 6], [2, 10, 19, 6, 0, 13, 13, 16, 14, 6, 13, 4, 13, 9], [7, 4, 5, 2, 13, 0, 10, 18, 15, 12, 14, 4, 1, 8], [7, 13, 2, 15, 13, 10, 0, 15, 6, 13, 3, 10, 15, 8], [19, 4, 13, 17, 16, 18, 15, 0, 15, 15, 6, 13, 12, 8], [6, 4, 11, 9, 14, 15, 6, 15, 0, 12, 13, 10, 4, 11], [0, 1, 1, 15, 6, 12, 13, 15, 12, 0, 10, 10, 11, 18], [18, 8, 17, 9, 13, 14, 3, 6, 13, 10, 0, 19, 19, 17], [5, 3, 12, 17, 4, 4, 10, 13, 10, 10, 19, 0, 5, 17], [1, 8, 19, 9, 13, 1, 15, 12, 4, 11, 19, 5, 0, 6], [9, 11, 14, 6, 9, 8, 8, 8, 11, 18, 17, 17, 6, 0]]'","[[0, 13, 16, 14, 25, 15, 22, 11, 8, 10, 9, 5, 21, 23], [19, 0, 12, 6, 4, 11, 16, 24, 22, 9, 1, 17, 10, 7], [1, 18, 0, 13, 9, 24, 20, 22, 5, 19, 8, 4, 23, 14], [2, 20, 11, 0, 1, 9, 18, 26, 25, 4, 7, 10, 15, 5], [26, 21, 7, 16, 0, 13, 8, 20, 15, 22, 19, 14, 24, 10], [6, 14, 25, 23, 5, 0, 12, 1, 19, 20, 2, 3, 7, 18], [17, 3, 26, 19, 2, 10, 0, 25, 11, 23, 14, 6, 1, 9], [3, 8, 10, 17, 23, 16, 15, 0, 14, 7, 5, 13, 9, 6], [4, 23, 2, 24, 12, 26, 7, 21, 0, 3, 10, 9, 17, 20], [12, 2, 15, 21, 11, 17, 5, 18, 6, 0, 24, 25, 14, 13], [18, 26, 6, 3, 17, 22, 21, 4, 13, 16, 0, 23, 25, 15], [7, 15, 21, 12, 18, 8, 24, 19, 1, 26, 20, 0, 16, 2], [20, 5, 3, 22, 6, 4, 13, 2, 18, 8, 12, 11, 0, 26], [24, 25, 17, 8, 3, 21, 4, 12, 16, 1, 11, 22, 19, 0]]'",2517,345.01258029200017
10,"[[0, 18, 8, 4, 8, 9, 5, 12, 1, 8, 17, 19, 17, 11], [18, 0, 14, 2, 14, 17, 11, 13, 14, 16, 17, 6, 9, 6], [8, 14, 0, 7, 7, 1, 16, 5, 3, 16, 1, 1, 10, 1], [4, 2, 7, 0, 19, 12, 6, 18, 4, 6, 11, 16, 4, 15], [8, 14, 7, 19, 0, 10, 6, 14, 6, 6, 19, 14, 14, 19], [9, 17, 1, 12, 10, 0, 18, 9, 1, 15, 6, 8, 0, 14], [5, 11, 16, 6, 6, 18, 0, 8, 15, 7, 11, 9, 5, 9], [12, 13, 5, 18, 14, 9, 8, 0, 16, 0, 18, 15, 7, 3], [1, 14, 3, 4, 6, 1, 15, 16, 0, 2, 12, 4, 19, 12], [8, 16, 16, 6, 6, 15, 7, 0, 2, 0, 13, 19, 15, 5], [17, 17, 1, 11, 19, 6, 11, 18, 12, 13, 0, 1, 0, 8], [19, 6, 1, 16, 14, 8, 9, 15, 4, 19, 1, 0, 7, 3], [17, 9, 10, 4, 14, 0, 5, 7, 19, 15, 0, 7, 0, 11], [11, 6, 1, 15, 19, 14, 9, 3, 12, 5, 8, 3, 11, 0]]'","[[0, 19, 5, 18, 10, 6, 13, 4, 1, 12, 22, 23, 3, 11], [2, 0, 17, 4, 18, 23, 15, 22, 10, 7, 13, 14, 21, 26], [7, 12, 0, 22, 6, 14, 23, 24, 18, 3, 4, 9, 11, 20], [14, 8, 13, 0, 25, 12, 10, 23, 5, 24, 26, 3, 9, 6], [24, 5, 1, 21, 0, 7, 9, 3, 13, 11, 2, 8, 4, 23], [8, 3, 10, 16, 15, 0, 21, 26, 11, 4, 20, 13, 1, 19], [26, 24, 8, 1, 20, 22, 0, 11, 12, 19, 7, 25, 18, 5], [25, 1, 2, 15, 19, 9, 16, 0, 8, 6, 14, 5, 7, 13], [9, 6, 19, 17, 14, 2, 4, 20, 0, 25, 23, 16, 24, 7], [21, 16, 15, 20, 17, 5, 2, 10, 26, 0, 8, 22, 13, 14], [17, 9, 25, 11, 16, 18, 3, 12, 21, 1, 0, 24, 6, 10], [20, 11, 26, 7, 12, 17, 6, 21, 15, 18, 19, 0, 2, 1], [15, 20, 16, 19, 26, 25, 14, 17, 22, 23, 5, 10, 0, 8], [16, 25, 21, 2, 22, 24, 17, 18, 3, 9, 15, 4, 12, 0]]'",2412,342.39068288699946
