No.,Repeat no.Distance_matrix,Feasible_solution,Cost,Solve time (sec),
1,0,"[[0, 19, 6, 12, 14, 0, 4, 18, 4, 0], [19, 0, 7, 6, 14, 18, 8, 9, 13, 10], [6, 7, 0, 12, 18, 8, 19, 6, 16, 7], [12, 6, 12, 0, 3, 3, 12, 15, 7, 9], [14, 14, 18, 3, 0, 2, 11, 11, 1, 4], [0, 18, 8, 3, 2, 0, 10, 7, 12, 0], [4, 8, 19, 12, 11, 10, 0, 16, 19, 15], [18, 9, 6, 15, 11, 7, 16, 0, 18, 15], [4, 13, 16, 7, 1, 12, 19, 18, 0, 14], [0, 10, 7, 9, 4, 0, 15, 15, 14, 0]]'","[[0, 5, 1, 2, 3, 6, 10, 4, 16, 13], [7, 0, 16, 1, 8, 14, 6, 13, 9, 15], [15, 4, 0, 8, 5, 3, 7, 17, 6, 14], [14, 18, 12, 0, 4, 13, 15, 16, 5, 6], [12, 17, 11, 9, 0, 1, 13, 18, 10, 16], [18, 10, 9, 11, 7, 0, 16, 15, 8, 4], [17, 11, 18, 3, 14, 2, 0, 12, 4, 5], [8, 3, 2, 10, 6, 5, 9, 0, 7, 1], [11, 2, 13, 17, 15, 12, 1, 14, 0, 18], [9, 12, 10, 7, 2, 17, 8, 11, 3, 0]]'",854,120.5396489
2,0,"[[0, 17, 17, 8, 0, 18, 0, 16, 11, 6], [17, 0, 10, 14, 3, 9, 4, 1, 19, 0], [17, 10, 0, 13, 6, 9, 11, 8, 5, 12], [8, 14, 13, 0, 3, 17, 1, 6, 12, 13], [0, 3, 6, 3, 0, 1, 6, 19, 1, 7], [18, 9, 9, 17, 1, 0, 9, 15, 18, 16], [0, 4, 11, 1, 6, 9, 0, 1, 2, 3], [16, 1, 8, 6, 19, 15, 1, 0, 13, 14], [11, 19, 5, 12, 1, 18, 2, 13, 0, 16], [6, 0, 12, 13, 7, 16, 3, 14, 16, 0]]'","[[0, 16, 1, 6, 5, 2, 15, 17, 14, 12], [18, 0, 13, 12, 7, 14, 11, 1, 6, 3], [7, 10, 0, 5, 6, 15, 4, 18, 8, 11], [3, 8, 17, 0, 9, 18, 1, 7, 10, 2], [8, 15, 2, 4, 0, 17, 3, 16, 11, 1], [10, 5, 3, 11, 13, 0, 8, 9, 12, 4], [9, 17, 12, 13, 14, 16, 0, 2, 7, 18], [11, 4, 14, 15, 12, 6, 10, 0, 13, 5], [4, 2, 9, 16, 18, 1, 5, 3, 0, 17], [13, 9, 16, 14, 10, 7, 6, 8, 15, 0]]'",739,120.5897861
3,0,"[[0, 15, 13, 11, 11, 13, 11, 5, 17, 10], [15, 0, 7, 16, 12, 6, 12, 17, 2, 14], [13, 7, 0, 15, 10, 7, 6, 15, 15, 17], [11, 16, 15, 0, 12, 16, 2, 0, 10, 4], [11, 12, 10, 12, 0, 19, 12, 2, 14, 17], [13, 6, 7, 16, 19, 0, 19, 12, 10, 7], [11, 12, 6, 2, 12, 19, 0, 18, 10, 18], [5, 17, 15, 0, 2, 12, 18, 0, 14, 18], [17, 2, 15, 10, 14, 10, 10, 14, 0, 18], [10, 14, 17, 4, 17, 7, 18, 18, 18, 0]]'","[[0, 18, 16, 11, 2, 17, 4, 12, 3, 1], [7, 0, 13, 4, 6, 1, 3, 5, 11, 14], [5, 8, 0, 18, 1, 3, 17, 4, 7, 6], [15, 9, 2, 0, 3, 5, 1, 16, 10, 8], [9, 16, 11, 14, 0, 18, 15, 13, 17, 10], [6, 15, 10, 13, 12, 0, 14, 11, 16, 7], [8, 10, 12, 7, 5, 9, 0, 6, 2, 11], [10, 2, 14, 17, 7, 8, 18, 0, 1, 9], [14, 12, 9, 6, 8, 4, 13, 15, 0, 5], [13, 17, 15, 12, 4, 2, 16, 3, 18, 0]]'",988,120.5168863
4,0,"[[0, 13, 12, 2, 14, 18, 19, 16, 18, 5], [13, 0, 18, 10, 17, 14, 9, 12, 10, 14], [12, 18, 0, 16, 3, 10, 0, 12, 14, 18], [2, 10, 16, 0, 14, 12, 8, 0, 2, 8], [14, 17, 3, 14, 0, 5, 2, 12, 8, 16], [18, 14, 10, 12, 5, 0, 7, 12, 14, 12], [19, 9, 0, 8, 2, 7, 0, 15, 19, 1], [16, 12, 12, 0, 12, 12, 15, 0, 0, 11], [18, 10, 14, 2, 8, 14, 19, 0, 0, 7], [5, 14, 18, 8, 16, 12, 1, 11, 7, 0]]'","[[0, 18, 1, 16, 4, 3, 17, 2, 15, 14], [7, 0, 12, 4, 11, 1, 3, 5, 6, 2], [6, 15, 0, 7, 3, 4, 18, 8, 16, 17], [5, 14, 11, 0, 12, 13, 15, 3, 2, 6], [8, 16, 14, 17, 0, 2, 1, 6, 18, 7], [11, 10, 5, 18, 9, 0, 6, 16, 17, 15], [9, 8, 2, 10, 13, 7, 0, 11, 12, 5], [10, 17, 13, 9, 15, 12, 14, 0, 1, 18], [13, 9, 10, 8, 5, 14, 4, 7, 0, 3], [12, 13, 9, 1, 10, 8, 16, 4, 11, 0]]'",884,120.6480511
5,0,"[[0, 13, 17, 0, 1, 14, 3, 15, 10, 15], [13, 0, 11, 2, 6, 2, 13, 18, 18, 2], [17, 11, 0, 3, 1, 19, 11, 8, 19, 1], [0, 2, 3, 0, 16, 3, 11, 0, 19, 5], [1, 6, 1, 16, 0, 14, 6, 11, 2, 18], [14, 2, 19, 3, 14, 0, 7, 1, 18, 15], [3, 13, 11, 11, 6, 7, 0, 11, 10, 6], [15, 18, 8, 0, 11, 1, 11, 0, 12, 3], [10, 18, 19, 19, 2, 18, 10, 12, 0, 19], [15, 2, 1, 5, 18, 15, 6, 3, 19, 0]]'","[[0, 10, 13, 12, 16, 9, 18, 1, 15, 14], [6, 0, 12, 5, 15, 3, 2, 4, 7, 13], [5, 8, 0, 2, 7, 4, 1, 3, 6, 17], [4, 1, 16, 0, 10, 14, 9, 7, 8, 11], [2, 17, 9, 3, 0, 18, 5, 8, 14, 4], [7, 16, 11, 13, 6, 0, 8, 10, 5, 12], [3, 11, 14, 15, 13, 17, 0, 16, 12, 10], [11, 14, 18, 17, 12, 15, 6, 0, 13, 5], [17, 9, 10, 18, 11, 1, 4, 2, 0, 3], [8, 18, 15, 6, 1, 2, 7, 9, 16, 0]]'",714,120.525107
6,0,"[[0, 4, 6, 12, 5, 5, 8, 17, 11, 5], [4, 0, 1, 18, 13, 18, 19, 13, 0, 9], [6, 1, 0, 13, 1, 8, 16, 18, 5, 18], [12, 18, 13, 0, 10, 17, 15, 9, 18, 17], [5, 13, 1, 10, 0, 4, 14, 19, 11, 19], [5, 18, 8, 17, 4, 0, 7, 12, 7, 15], [8, 19, 16, 15, 14, 7, 0, 16, 7, 12], [17, 13, 18, 9, 19, 12, 16, 0, 2, 10], [11, 0, 5, 18, 11, 7, 7, 2, 0, 9], [5, 9, 18, 17, 19, 15, 12, 10, 9, 0]]'","[[0, 18, 5, 14, 6, 4, 9, 12, 13, 11], [1, 0, 12, 8, 2, 3, 4, 7, 6, 17], [17, 10, 0, 16, 1, 2, 3, 18, 8, 9], [3, 5, 6, 0, 7, 1, 2, 11, 4, 10], [8, 16, 15, 9, 0, 18, 5, 10, 11, 12], [7, 14, 11, 12, 13, 0, 6, 9, 10, 8], [10, 11, 13, 15, 14, 17, 0, 8, 12, 7], [2, 13, 4, 17, 3, 15, 16, 0, 14, 1], [15, 9, 7, 18, 17, 16, 1, 5, 0, 2], [16, 15, 14, 13, 4, 5, 18, 6, 3, 0]]'",908,120.9153499
7,0,"[[0, 7, 15, 0, 19, 4, 11, 13, 19, 7], [7, 0, 16, 7, 12, 17, 8, 10, 7, 5], [15, 16, 0, 11, 16, 17, 17, 7, 12, 5], [0, 7, 11, 0, 15, 19, 6, 6, 8, 16], [19, 12, 16, 15, 0, 14, 4, 0, 4, 0], [4, 17, 17, 19, 14, 0, 19, 12, 19, 10], [11, 8, 17, 6, 4, 19, 0, 6, 14, 16], [13, 10, 7, 6, 0, 12, 6, 0, 14, 14], [19, 7, 12, 8, 4, 19, 14, 14, 0, 1], [7, 5, 5, 16, 0, 10, 16, 14, 1, 0]]'","[[0, 18, 5, 7, 3, 1, 2, 6, 4, 17], [16, 0, 12, 5, 2, 3, 1, 4, 6, 13], [13, 14, 0, 2, 15, 4, 3, 1, 17, 16], [15, 8, 18, 0, 12, 16, 13, 17, 10, 11], [8, 17, 6, 9, 0, 18, 5, 10, 16, 7], [9, 10, 7, 6, 11, 0, 8, 14, 5, 12], [10, 9, 11, 14, 4, 17, 0, 16, 15, 18], [11, 7, 9, 3, 13, 15, 12, 0, 18, 8], [12, 11, 8, 1, 14, 13, 7, 2, 0, 9], [14, 15, 10, 4, 1, 2, 6, 5, 3, 0]]'",920,120.9027252
8,0,"[[0, 0, 18, 5, 8, 15, 7, 16, 17, 1], [0, 0, 3, 15, 12, 12, 13, 0, 12, 3], [18, 3, 0, 13, 0, 13, 15, 16, 6, 19], [5, 15, 13, 0, 16, 19, 16, 9, 19, 10], [8, 12, 0, 16, 0, 13, 18, 15, 18, 17], [15, 12, 13, 19, 13, 0, 3, 10, 14, 1], [7, 13, 15, 16, 18, 3, 0, 10, 17, 7], [16, 0, 16, 9, 15, 10, 10, 0, 12, 17], [17, 12, 6, 19, 18, 14, 17, 12, 0, 6], [1, 3, 19, 10, 17, 1, 7, 17, 6, 0]]'","[[0, 16, 12, 18, 1, 2, 6, 3, 13, 14], [7, 0, 10, 1, 2, 4, 3, 5, 9, 12], [5, 18, 0, 6, 4, 1, 9, 17, 8, 7], [4, 15, 16, 0, 5, 3, 2, 9, 10, 11], [9, 17, 15, 7, 0, 18, 8, 6, 11, 10], [8, 14, 11, 13, 12, 0, 7, 10, 17, 9], [10, 11, 13, 17, 14, 15, 0, 18, 12, 16], [11, 8, 14, 12, 13, 16, 1, 0, 2, 15], [15, 6, 3, 14, 16, 5, 4, 7, 0, 18], [17, 13, 2, 8, 3, 6, 5, 4, 1, 0]]'",963,120.5460515
9,0,"[[0, 19, 5, 9, 13, 14, 3, 7, 1, 19], [19, 0, 7, 10, 5, 9, 4, 2, 0, 12], [5, 7, 0, 17, 8, 4, 10, 12, 10, 9], [9, 10, 17, 0, 16, 18, 5, 17, 10, 12], [13, 5, 8, 16, 0, 6, 8, 3, 16, 14], [14, 9, 4, 18, 6, 0, 12, 3, 4, 14], [3, 4, 10, 5, 8, 12, 0, 18, 12, 19], [7, 2, 12, 17, 3, 3, 18, 0, 13, 5], [1, 0, 10, 10, 16, 4, 12, 13, 0, 18], [19, 12, 9, 12, 14, 14, 19, 5, 18, 0]]'","[[0, 15, 12, 3, 16, 10, 1, 11, 4, 14], [7, 0, 16, 18, 2, 1, 6, 12, 8, 13], [5, 10, 0, 4, 15, 2, 3, 1, 9, 8], [2, 9, 7, 0, 1, 13, 8, 14, 10, 6], [8, 4, 6, 11, 0, 12, 7, 9, 5, 10], [6, 14, 11, 15, 17, 0, 5, 16, 7, 9], [9, 11, 13, 17, 14, 18, 0, 10, 12, 16], [17, 3, 18, 5, 13, 8, 4, 0, 6, 15], [13, 17, 14, 16, 18, 3, 15, 2, 0, 1], [18, 5, 17, 12, 3, 4, 2, 7, 11, 0]]'",913,120.5844218
10,0,"[[0, 2, 13, 6, 11, 18, 19, 7, 12, 2], [2, 0, 11, 14, 8, 0, 14, 14, 1, 4], [13, 11, 0, 10, 18, 19, 1, 12, 1, 14], [6, 14, 10, 0, 11, 0, 8, 12, 0, 17], [11, 8, 18, 11, 0, 19, 10, 9, 16, 5], [18, 0, 19, 0, 19, 0, 10, 15, 14, 19], [19, 14, 1, 8, 10, 10, 0, 2, 14, 15], [7, 14, 12, 12, 9, 15, 2, 0, 19, 8], [12, 1, 1, 0, 16, 14, 14, 19, 0, 7], [2, 4, 14, 17, 5, 19, 15, 8, 7, 0]]'","[[0, 15, 12, 11, 2, 14, 18, 3, 13, 1], [6, 0, 10, 9, 1, 4, 11, 2, 8, 12], [7, 17, 0, 2, 6, 3, 1, 4, 9, 8], [4, 14, 16, 0, 3, 1, 17, 6, 15, 5], [10, 16, 18, 7, 0, 15, 14, 8, 17, 9], [8, 5, 11, 12, 13, 0, 10, 9, 6, 7], [9, 3, 13, 8, 5, 2, 0, 7, 4, 6], [5, 18, 15, 13, 12, 17, 16, 0, 14, 11], [16, 7, 5, 10, 11, 18, 12, 1, 0, 2], [17, 13, 14, 18, 4, 16, 15, 10, 3, 0]]'",767,120.528994
