No.,Repeat no.Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,0,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 2, 3, 1], [6, 0, 4, 5], [5, 1, 0, 6], [4, 3, 2, 0]]'",130.0,0.25253343699841935
2,0,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 4, 2, 3], [1, 0, 3, 2], [6, 5, 0, 1], [5, 6, 4, 0]]'",120.0,0.32654588900004455
3,0,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 2, 1, 4], [5, 0, 3, 6], [6, 4, 0, 5], [3, 1, 2, 0]]'",46.0,0.13037084899951878
4,0,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 2, 3, 4], [5, 0, 1, 6], [6, 4, 0, 5], [1, 3, 2, 0]]'",115.0,0.22487866699884762
5,0,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 2, 3], [1, 0, 3, 2], [5, 6, 0, 1], [6, 5, 4, 0]]'",106.0,0.2900109930014878
6,0,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 3, 2, 1], [5, 0, 4, 6], [6, 1, 0, 5], [4, 2, 3, 0]]'",129.0,0.2748702870012494
7,0,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 3, 1, 2], [4, 0, 2, 1], [6, 5, 0, 4], [5, 6, 3, 0]]'",115.0,0.2918910619991948
8,0,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 6, 5, 4], [2, 0, 4, 1], [1, 3, 0, 2], [3, 5, 6, 0]]'",77.0,0.4859941279992199
9,0,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 6, 1], [3, 0, 4, 2], [2, 1, 0, 3], [4, 6, 5, 0]]'",134.0,0.142331376000584
10,0,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 6, 4, 5], [2, 0, 1, 3], [3, 5, 0, 2], [1, 4, 6, 0]]'",54.0,0.26121399300063786
