No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,0,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 1, 2, 6], [4, 0, 3, 5], [5, 6, 0, 4], [3, 2, 1, 0]]'",154,0.07261440000000002
1,1,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 4, 5, 6], [2, 0, 3, 1], [1, 6, 0, 2], [3, 5, 4, 0]]'",142,0.07398060000000004
1,2,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 5, 4, 1], [6, 0, 3, 2], [2, 1, 0, 6], [3, 4, 5, 0]]'",177,0.0755998
1,3,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 5, 3, 4], [2, 0, 4, 6], [6, 1, 0, 5], [1, 3, 2, 0]]'",170,0.07327810000000001
1,4,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 5, 4], [3, 0, 1, 2], [2, 4, 0, 3], [1, 5, 6, 0]]'",146,0.07503599999999999
1,5,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 1, 5], [2, 0, 5, 1], [3, 4, 0, 6], [4, 3, 2, 0]]'",170,0.07547939999999997
1,6,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 5, 4, 2], [1, 0, 2, 6], [6, 3, 0, 1], [3, 4, 5, 0]]'",173,0.07544289999999998
1,7,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 3, 4, 6], [5, 0, 6, 4], [2, 1, 0, 3], [1, 2, 5, 0]]'",178,0.07621140000000004
1,8,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 1, 2, 3], [5, 0, 4, 6], [6, 3, 0, 1], [4, 2, 5, 0]]'",176,0.07668720000000007
1,9,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 3, 5], [2, 0, 1, 4], [4, 5, 0, 6], [1, 3, 2, 0]]'",172,0.07623100000000005
2,0,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 6, 3, 4], [5, 0, 4, 1], [1, 2, 0, 6], [2, 3, 5, 0]]'",161,0.07720329999999997
2,1,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 6, 1, 3], [5, 0, 3, 4], [4, 2, 0, 6], [2, 1, 5, 0]]'",155,0.07619439999999988
2,2,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 2, 1, 6], [4, 0, 6, 5], [5, 3, 0, 2], [3, 1, 4, 0]]'",152,0.07582310000000003
2,3,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 1, 4], [3, 0, 2, 6], [6, 4, 0, 5], [2, 1, 3, 0]]'",162,0.07602590000000009
2,4,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 2, 5, 1], [6, 0, 4, 5], [3, 1, 0, 2], [4, 3, 6, 0]]'",149,0.07581060000000006
2,5,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 3, 1, 2], [4, 0, 2, 1], [5, 6, 0, 4], [6, 5, 3, 0]]'",142,0.07693820000000007
2,6,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 1, 4], [2, 0, 3, 1], [6, 4, 0, 5], [3, 6, 2, 0]]'",156,0.07621650000000013
2,7,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 2, 6], [3, 0, 6, 4], [4, 1, 0, 5], [1, 2, 3, 0]]'",163,0.07538780000000012
2,8,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 3, 6], [4, 0, 1, 3], [2, 6, 0, 5], [1, 2, 4, 0]]'",168,0.07439440000000008
2,9,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 1, 4, 6], [2, 0, 6, 3], [3, 5, 0, 2], [5, 4, 1, 0]]'",172,0.07352230000000004
3,0,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 4, 5, 2], [6, 0, 2, 3], [3, 1, 0, 4], [1, 5, 6, 0]]'",80,0.0757447
3,1,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 5, 6, 3], [4, 0, 1, 6], [2, 3, 0, 4], [1, 2, 5, 0]]'",86,0.07690090000000005
3,2,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 3, 2, 5], [6, 0, 5, 4], [4, 1, 0, 6], [1, 2, 3, 0]]'",109,0.07642850000000001
