No.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,"[[0, 3, 4, 13, 9, 11, 2, 1, 11, 13, 19, 2], [3, 0, 16, 11, 13, 9, 10, 14, 8, 19, 7, 15], [4, 16, 0, 12, 0, 16, 12, 17, 6, 2, 15, 19], [13, 11, 12, 0, 13, 8, 0, 1, 17, 0, 11, 1], [9, 13, 0, 13, 0, 9, 17, 2, 1, 18, 0, 1], [11, 9, 16, 8, 9, 0, 16, 9, 10, 1, 15, 13], [2, 10, 12, 0, 17, 16, 0, 3, 6, 11, 11, 6], [1, 14, 17, 1, 2, 9, 3, 0, 16, 17, 6, 16], [11, 8, 6, 17, 1, 10, 6, 16, 0, 1, 8, 9], [13, 19, 2, 0, 18, 1, 11, 17, 1, 0, 8, 17], [19, 7, 15, 11, 0, 15, 11, 6, 8, 8, 0, 4], [2, 15, 19, 1, 1, 13, 6, 16, 9, 17, 4, 0]]'","[[0, 13, 19, 11, 22, 9, 1, 12, 6, 7, 8, 5], [4, 0, 17, 3, 12, 22, 18, 7, 15, 8, 6, 11], [10, 1, 0, 20, 15, 7, 22, 3, 11, 9, 12, 8], [18, 9, 5, 0, 13, 2, 10, 17, 8, 6, 19, 12], [21, 2, 16, 7, 0, 8, 6, 18, 1, 11, 10, 20], [14, 19, 13, 1, 17, 0, 11, 5, 18, 12, 20, 6], [17, 21, 14, 15, 5, 4, 0, 8, 20, 16, 13, 19], [16, 20, 6, 14, 4, 10, 2, 0, 19, 13, 21, 1], [3, 10, 2, 21, 9, 16, 12, 22, 0, 17, 7, 4], [20, 5, 18, 4, 19, 21, 3, 15, 14, 0, 2, 22], [15, 16, 4, 22, 14, 3, 9, 11, 5, 1, 0, 18], [2, 14, 21, 16, 3, 15, 7, 9, 13, 10, 17, 0]]'",1594,136.1658315279999
2,"[[0, 17, 9, 18, 17, 5, 5, 10, 6, 12, 14, 12], [17, 0, 11, 4, 19, 10, 1, 19, 8, 11, 14, 13], [9, 11, 0, 5, 0, 2, 11, 8, 11, 5, 15, 6], [18, 4, 5, 0, 10, 12, 1, 2, 3, 13, 10, 2], [17, 19, 0, 10, 0, 6, 11, 13, 6, 17, 15, 9], [5, 10, 2, 12, 6, 0, 13, 9, 6, 9, 12, 13], [5, 1, 11, 1, 11, 13, 0, 8, 16, 19, 16, 3], [10, 19, 8, 2, 13, 9, 8, 0, 13, 13, 13, 10], [6, 8, 11, 3, 6, 6, 16, 13, 0, 17, 15, 19], [12, 11, 5, 13, 17, 9, 19, 13, 17, 0, 3, 4], [14, 14, 15, 10, 15, 12, 16, 13, 15, 3, 0, 3], [12, 13, 6, 2, 9, 13, 3, 10, 19, 4, 3, 0]]'","[[0, 11, 9, 8, 20, 12, 7, 13, 16, 14, 10, 3], [21, 0, 3, 6, 2, 19, 8, 4, 15, 5, 7, 22], [6, 18, 0, 1, 17, 7, 4, 5, 8, 2, 16, 19], [17, 9, 10, 0, 11, 18, 19, 3, 14, 13, 12, 16], [19, 13, 15, 4, 0, 21, 3, 18, 5, 16, 6, 8], [5, 16, 13, 15, 22, 0, 14, 1, 3, 4, 9, 2], [22, 1, 12, 5, 9, 17, 0, 16, 21, 15, 11, 13], [2, 10, 14, 7, 12, 20, 6, 0, 9, 22, 21, 17], [4, 12, 20, 22, 1, 10, 2, 11, 0, 19, 18, 7], [18, 20, 11, 21, 7, 6, 10, 8, 17, 0, 3, 9], [15, 17, 22, 2, 14, 8, 20, 19, 13, 1, 0, 5], [1, 14, 21, 20, 10, 11, 18, 15, 6, 12, 4, 0]]'",1768,128.913340951
3,"[[0, 8, 16, 6, 3, 14, 12, 17, 18, 13, 12, 3], [8, 0, 2, 4, 10, 2, 1, 0, 11, 11, 13, 12], [16, 2, 0, 5, 10, 11, 8, 7, 8, 19, 13, 18], [6, 4, 5, 0, 5, 14, 16, 8, 7, 9, 14, 14], [3, 10, 10, 5, 0, 0, 12, 10, 0, 9, 7, 14], [14, 2, 11, 14, 0, 0, 6, 14, 7, 3, 14, 19], [12, 1, 8, 16, 12, 6, 0, 13, 17, 8, 6, 10], [17, 0, 7, 8, 10, 14, 13, 0, 17, 8, 15, 1], [18, 11, 8, 7, 0, 7, 17, 17, 0, 6, 6, 4], [13, 11, 19, 9, 9, 3, 8, 8, 6, 0, 9, 11], [12, 13, 13, 14, 7, 14, 6, 15, 6, 9, 0, 3], [3, 12, 18, 14, 14, 19, 10, 1, 4, 11, 3, 0]]'","[[0, 4, 15, 16, 2, 20, 11, 5, 21, 19, 1, 22], [17, 0, 19, 9, 3, 22, 1, 14, 20, 2, 10, 7], [10, 21, 0, 17, 5, 4, 6, 13, 12, 14, 7, 1], [6, 15, 8, 0, 11, 12, 3, 22, 13, 18, 2, 14], [14, 13, 9, 19, 0, 21, 4, 8, 17, 7, 16, 15], [3, 11, 2, 1, 6, 0, 5, 18, 8, 15, 14, 13], [9, 16, 18, 7, 22, 10, 0, 15, 14, 21, 8, 2], [7, 12, 16, 21, 20, 9, 17, 0, 10, 4, 6, 11], [18, 6, 22, 4, 1, 7, 19, 2, 0, 5, 15, 9], [12, 8, 11, 20, 10, 16, 13, 1, 3, 0, 9, 6], [13, 18, 3, 5, 12, 17, 20, 19, 11, 22, 0, 4], [8, 5, 20, 10, 18, 19, 12, 3, 16, 17, 21, 0]]'",1621,128.66994996699987
4,"[[0, 10, 6, 14, 17, 1, 8, 12, 17, 2, 17, 14], [10, 0, 2, 2, 19, 4, 16, 19, 7, 16, 18, 15], [6, 2, 0, 16, 6, 14, 16, 9, 8, 19, 18, 6], [14, 2, 16, 0, 12, 18, 5, 3, 9, 9, 19, 10], [17, 19, 6, 12, 0, 4, 7, 2, 0, 1, 11, 10], [1, 4, 14, 18, 4, 0, 0, 7, 11, 7, 6, 12], [8, 16, 16, 5, 7, 0, 0, 18, 16, 17, 17, 3], [12, 19, 9, 3, 2, 7, 18, 0, 18, 4, 8, 14], [17, 7, 8, 9, 0, 11, 16, 18, 0, 6, 18, 6], [2, 16, 19, 9, 1, 7, 17, 4, 6, 0, 17, 17], [17, 18, 18, 19, 11, 6, 17, 8, 18, 17, 0, 7], [14, 15, 6, 10, 10, 12, 3, 14, 6, 17, 7, 0]]'","[[0, 3, 15, 21, 16, 1, 14, 10, 22, 8, 2, 19], [5, 0, 10, 6, 14, 15, 13, 12, 8, 1, 22, 20], [20, 17, 0, 5, 11, 7, 3, 9, 19, 22, 21, 4], [11, 7, 12, 0, 19, 2, 17, 18, 1, 10, 8, 13], [12, 18, 13, 22, 0, 17, 1, 4, 2, 3, 7, 10], [13, 9, 6, 4, 8, 0, 16, 19, 20, 21, 5, 22], [4, 19, 2, 9, 6, 18, 0, 22, 21, 5, 20, 11], [7, 21, 8, 20, 5, 14, 15, 0, 16, 6, 13, 2], [18, 4, 14, 3, 9, 10, 7, 11, 0, 15, 12, 6], [9, 2, 18, 16, 20, 11, 12, 17, 13, 0, 19, 14], [6, 11, 16, 14, 15, 3, 10, 1, 17, 4, 0, 18], [17, 16, 1, 15, 21, 12, 8, 3, 5, 7, 9, 0]]'",1844,128.40175693300012
5,"[[0, 13, 5, 16, 12, 7, 19, 4, 6, 9, 19, 5], [13, 0, 10, 12, 5, 6, 11, 7, 18, 10, 3, 19], [5, 10, 0, 0, 1, 0, 14, 11, 17, 3, 6, 15], [16, 12, 0, 0, 18, 3, 6, 8, 8, 0, 2, 11], [12, 5, 1, 18, 0, 7, 19, 14, 13, 4, 16, 5], [7, 6, 0, 3, 7, 0, 17, 12, 16, 4, 19, 5], [19, 11, 14, 6, 19, 17, 0, 0, 5, 8, 17, 1], [4, 7, 11, 8, 14, 12, 0, 0, 0, 4, 1, 7], [6, 18, 17, 8, 13, 16, 5, 0, 0, 10, 0, 3], [9, 10, 3, 0, 4, 4, 8, 4, 10, 0, 7, 5], [19, 3, 6, 2, 16, 19, 17, 1, 0, 7, 0, 8], [5, 19, 15, 11, 5, 5, 1, 7, 3, 5, 8, 0]]'","[[0, 15, 4, 9, 20, 5, 14, 2, 7, 10, 21, 13], [18, 0, 11, 2, 17, 1, 21, 7, 9, 12, 5, 6], [6, 16, 0, 13, 22, 7, 9, 17, 8, 15, 2, 21], [16, 14, 20, 0, 15, 19, 1, 11, 3, 6, 22, 7], [1, 13, 14, 18, 0, 6, 7, 8, 2, 21, 10, 11], [11, 8, 3, 4, 9, 0, 13, 21, 20, 2, 12, 14], [8, 22, 10, 12, 5, 18, 0, 6, 19, 11, 4, 2], [3, 4, 12, 5, 19, 10, 16, 0, 18, 9, 14, 22], [17, 10, 5, 21, 12, 22, 15, 13, 0, 4, 11, 16], [22, 19, 18, 17, 3, 16, 20, 1, 14, 0, 13, 8], [19, 3, 1, 8, 16, 15, 17, 20, 6, 7, 0, 9], [12, 20, 19, 10, 4, 17, 3, 15, 1, 5, 18, 0]]'",1518,129.08159293999984
6,"[[0, 0, 17, 2, 3, 11, 16, 2, 2, 15, 2, 3], [0, 0, 19, 14, 0, 16, 11, 10, 7, 0, 18, 19], [17, 19, 0, 4, 6, 12, 9, 3, 9, 15, 12, 18], [2, 14, 4, 0, 18, 19, 12, 6, 3, 9, 16, 12], [3, 0, 6, 18, 0, 5, 17, 5, 17, 0, 5, 10], [11, 16, 12, 19, 5, 0, 7, 17, 19, 2, 7, 16], [16, 11, 9, 12, 17, 7, 0, 5, 9, 13, 17, 2], [2, 10, 3, 6, 5, 17, 5, 0, 18, 18, 19, 13], [2, 7, 9, 3, 17, 19, 9, 18, 0, 9, 11, 9], [15, 0, 15, 9, 0, 2, 13, 18, 9, 0, 10, 7], [2, 18, 12, 16, 5, 7, 17, 19, 11, 10, 0, 8], [3, 19, 18, 12, 10, 16, 2, 13, 9, 7, 8, 0]]'","[[0, 19, 2, 22, 12, 8, 1, 18, 3, 21, 17, 20], [4, 0, 9, 2, 15, 3, 21, 1, 7, 20, 11, 22], [14, 18, 0, 13, 17, 10, 12, 21, 11, 22, 3, 15], [5, 10, 19, 0, 8, 1, 14, 17, 9, 18, 16, 6], [10, 16, 7, 11, 0, 6, 3, 9, 18, 13, 21, 4], [13, 12, 16, 15, 2, 0, 17, 22, 14, 7, 18, 21], [9, 13, 6, 4, 5, 20, 0, 11, 8, 19, 10, 16], [16, 6, 20, 3, 14, 4, 7, 0, 15, 5, 12, 2], [6, 17, 5, 21, 20, 19, 22, 13, 0, 10, 2, 1], [15, 14, 4, 12, 1, 11, 2, 8, 16, 0, 9, 3], [7, 8, 1, 20, 22, 5, 15, 19, 4, 6, 0, 14], [11, 5, 8, 7, 19, 9, 18, 10, 12, 17, 13, 0]]'",1750,129.31473880199974
7,"[[0, 7, 3, 16, 1, 0, 7, 2, 19, 19, 17, 13], [7, 0, 12, 17, 14, 8, 1, 1, 7, 4, 8, 2], [3, 12, 0, 19, 0, 9, 5, 14, 16, 9, 9, 11], [16, 17, 19, 0, 4, 18, 13, 7, 7, 7, 3, 12], [1, 14, 0, 4, 0, 13, 18, 7, 6, 16, 16, 5], [0, 8, 9, 18, 13, 0, 17, 7, 0, 14, 9, 1], [7, 1, 5, 13, 18, 17, 0, 2, 11, 17, 5, 19], [2, 1, 14, 7, 7, 7, 2, 0, 5, 16, 18, 18], [19, 7, 16, 7, 6, 0, 11, 5, 0, 10, 8, 17], [19, 4, 9, 7, 16, 14, 17, 16, 10, 0, 19, 4], [17, 8, 9, 3, 16, 9, 5, 18, 8, 19, 0, 6], [13, 2, 11, 12, 5, 1, 19, 18, 17, 4, 6, 0]]'","[[0, 10, 12, 8, 18, 17, 19, 22, 5, 15, 4, 11], [2, 0, 22, 19, 13, 7, 6, 17, 18, 14, 9, 12], [13, 8, 0, 7, 4, 14, 20, 11, 6, 9, 15, 18], [6, 21, 5, 0, 12, 20, 15, 9, 14, 16, 11, 4], [3, 11, 1, 10, 0, 5, 9, 21, 22, 8, 6, 7], [9, 15, 3, 13, 2, 0, 12, 10, 8, 6, 19, 21], [21, 16, 17, 22, 14, 11, 0, 13, 10, 4, 18, 5], [16, 20, 2, 18, 15, 4, 1, 0, 12, 5, 3, 6], [20, 4, 16, 3, 17, 1, 7, 19, 0, 21, 13, 15], [1, 3, 10, 17, 19, 18, 2, 7, 11, 0, 12, 13], [7, 5, 21, 1, 20, 16, 8, 14, 2, 22, 0, 17], [14, 1, 19, 2, 16, 22, 3, 8, 9, 20, 10, 0]]'",1699,130.39512089200025
8,"[[0, 3, 12, 10, 5, 1, 5, 9, 2, 18, 10, 7], [3, 0, 5, 2, 2, 14, 9, 19, 12, 6, 11, 1], [12, 5, 0, 13, 5, 12, 8, 17, 0, 11, 12, 7], [10, 2, 13, 0, 4, 9, 8, 3, 9, 17, 16, 15], [5, 2, 5, 4, 0, 1, 11, 7, 14, 18, 0, 0], [1, 14, 12, 9, 1, 0, 8, 4, 13, 15, 15, 14], [5, 9, 8, 8, 11, 8, 0, 7, 11, 3, 1, 3], [9, 19, 17, 3, 7, 4, 7, 0, 18, 15, 5, 18], [2, 12, 0, 9, 14, 13, 11, 18, 0, 15, 11, 0], [18, 6, 11, 17, 18, 15, 3, 15, 15, 0, 15, 5], [10, 11, 12, 16, 0, 15, 1, 5, 11, 15, 0, 1], [7, 1, 7, 15, 0, 14, 3, 18, 0, 5, 1, 0]]'","[[0, 17, 11, 2, 21, 14, 7, 15, 10, 22, 4, 5], [18, 0, 7, 4, 20, 9, 1, 5, 3, 19, 22, 21], [6, 8, 0, 12, 9, 13, 3, 22, 18, 5, 19, 16], [19, 10, 17, 0, 5, 8, 18, 20, 22, 16, 21, 6], [13, 6, 10, 11, 0, 3, 12, 16, 19, 4, 18, 17], [20, 16, 15, 1, 2, 0, 6, 19, 21, 18, 11, 22], [9, 2, 4, 14, 22, 5, 0, 10, 11, 21, 17, 19], [1, 11, 21, 3, 7, 17, 13, 0, 8, 12, 6, 18], [12, 13, 20, 15, 14, 7, 16, 4, 0, 17, 9, 1], [8, 15, 2, 9, 1, 10, 20, 14, 6, 0, 7, 11], [16, 14, 1, 13, 15, 12, 8, 2, 5, 3, 0, 20], [3, 12, 14, 7, 8, 4, 15, 9, 2, 13, 10, 0]]'",1546,128.19932560200004
9,"[[0, 14, 1, 1, 6, 10, 10, 16, 11, 0, 1, 17], [14, 0, 6, 7, 10, 5, 1, 13, 16, 18, 5, 10], [1, 6, 0, 19, 17, 18, 16, 15, 19, 15, 7, 4], [1, 7, 19, 0, 16, 13, 19, 9, 13, 16, 18, 8], [6, 10, 17, 16, 0, 1, 7, 2, 5, 5, 1, 9], [10, 5, 18, 13, 1, 0, 4, 4, 4, 5, 17, 10], [10, 1, 16, 19, 7, 4, 0, 14, 13, 18, 6, 7], [16, 13, 15, 9, 2, 4, 14, 0, 5, 18, 17, 16], [11, 16, 19, 13, 5, 4, 13, 5, 0, 19, 16, 10], [0, 18, 15, 16, 5, 5, 18, 18, 19, 0, 14, 11], [1, 5, 7, 18, 1, 17, 6, 17, 16, 14, 0, 11], [17, 10, 4, 8, 9, 10, 7, 16, 10, 11, 11, 0]]'","[[0, 13, 5, 8, 4, 15, 7, 12, 21, 20, 16, 11], [9, 0, 8, 17, 1, 14, 22, 21, 20, 2, 7, 16], [17, 10, 0, 7, 18, 16, 9, 14, 22, 15, 19, 1], [19, 3, 11, 0, 21, 4, 10, 20, 12, 18, 9, 5], [2, 6, 12, 14, 0, 13, 5, 19, 9, 7, 10, 17], [10, 19, 21, 2, 22, 0, 20, 7, 1, 3, 18, 8], [1, 18, 2, 13, 3, 12, 0, 8, 4, 16, 14, 21], [18, 15, 4, 22, 16, 11, 6, 0, 10, 17, 5, 9], [3, 11, 6, 16, 15, 5, 17, 13, 0, 19, 8, 18], [22, 5, 13, 6, 8, 9, 11, 1, 14, 0, 12, 4], [6, 4, 20, 1, 11, 17, 15, 3, 2, 21, 0, 22], [14, 12, 3, 15, 20, 6, 19, 2, 7, 10, 13, 0]]'",1835,130.11120174000007
10,"[[0, 16, 10, 3, 0, 18, 18, 17, 2, 6, 0, 0], [16, 0, 2, 17, 6, 10, 5, 1, 12, 9, 17, 16], [10, 2, 0, 16, 11, 13, 11, 3, 14, 13, 5, 18], [3, 17, 16, 0, 17, 8, 7, 8, 18, 8, 0, 7], [0, 6, 11, 17, 0, 14, 15, 4, 11, 5, 13, 3], [18, 10, 13, 8, 14, 0, 17, 5, 0, 7, 14, 5], [18, 5, 11, 7, 15, 17, 0, 6, 12, 18, 6, 18], [17, 1, 3, 8, 4, 5, 6, 0, 1, 17, 12, 10], [2, 12, 14, 18, 11, 0, 12, 1, 0, 9, 1, 12], [6, 9, 13, 8, 5, 7, 18, 17, 9, 0, 4, 11], [0, 17, 5, 0, 13, 14, 6, 12, 1, 4, 0, 19], [0, 16, 18, 7, 3, 5, 18, 10, 12, 11, 19, 0]]'","[[0, 11, 10, 19, 7, 12, 16, 15, 2, 18, 5, 4], [22, 0, 9, 2, 15, 18, 3, 17, 21, 19, 13, 6], [3, 5, 0, 1, 6, 21, 22, 8, 16, 4, 15, 18], [21, 4, 14, 0, 5, 16, 18, 9, 17, 15, 12, 20], [13, 1, 2, 10, 0, 8, 20, 12, 4, 22, 14, 19], [6, 20, 19, 22, 9, 0, 14, 13, 3, 5, 4, 2], [8, 12, 13, 7, 11, 17, 0, 4, 5, 9, 6, 10], [1, 10, 11, 6, 3, 7, 2, 0, 22, 21, 19, 5], [14, 8, 7, 11, 18, 15, 19, 20, 0, 6, 1, 13], [20, 14, 12, 13, 17, 11, 1, 16, 10, 0, 2, 8], [17, 7, 20, 8, 16, 10, 21, 18, 9, 3, 0, 11], [9, 16, 17, 3, 21, 1, 15, 14, 12, 7, 22, 0]]'",1656,127.17709296600015
