No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
1,0,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 5, 4], [1, 0, 3, 2], [2, 4, 0, 1], [3, 5, 6, 0]]'",149,0.007039869000436738
1,1,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 5, 4, 3], [2, 0, 6, 1], [1, 3, 0, 2], [6, 4, 5, 0]]'",147,0.0055035199993653805
1,2,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 3, 5, 1], [6, 0, 1, 5], [4, 2, 0, 6], [2, 4, 3, 0]]'",167,0.00546540899995307
1,3,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 3, 1, 2], [6, 0, 5, 1], [4, 2, 0, 3], [5, 4, 6, 0]]'",171,0.005488800000421179
1,4,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 1, 5, 2], [4, 0, 3, 6], [6, 2, 0, 1], [3, 5, 4, 0]]'",175,0.005599698999503744
1,5,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 6, 5, 4], [2, 0, 3, 5], [1, 4, 0, 6], [3, 1, 2, 0]]'",158,0.0054064400001152535
1,6,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 4, 6, 5], [2, 0, 1, 6], [3, 5, 0, 4], [1, 3, 2, 0]]'",159,0.0054013090002626996
1,7,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 5, 4, 3], [2, 0, 6, 1], [1, 3, 0, 2], [6, 4, 5, 0]]'",157,0.005740659000366577
1,8,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 3, 4, 2], [5, 0, 1, 6], [6, 2, 0, 3], [1, 4, 5, 0]]'",162,0.005401508999966609
1,9,"[[0, 14, 8, 10], [14, 0, 2, 16], [8, 2, 0, 17], [10, 16, 17, 0]]'","[[0, 4, 2, 1], [6, 0, 1, 2], [5, 3, 0, 6], [3, 5, 4, 0]]'",170,0.005475259999911941
